schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathschool,nttkmathdist,nttkmathstate,nttkscischool,nttkscidist,nttkscistate
041011310042001,0.2,0.1,0.6,0.2,0.1,0.5,0.5,0.2,0.7
041011310042002,,,,,,,,,
041011310042003,0.0,0.1,0.6,0.0,0.1,0.5,,,
041011330041001,0.0,0.9,0.6,0.0,0.9,0.5,0.0,0.5,0.7
041011330042001,2.7,0.9,0.6,2.7,0.9,0.5,1.0,0.5,0.7
041011340042001,1.1,1.1,0.6,1.1,1.1,0.5,0.0,0.0,0.7
041011400041001,0.4,0.3,0.6,0.4,0.2,0.5,1.1,0.8,0.7
041011400042001,,,,,,,,,
041011400042002,0.2,0.3,0.6,0.0,0.2,0.5,0.6,0.8,0.7
041012050250001,2.9,0.6,0.6,2.9,0.6,0.5,2.9,1.4,0.7
041012050250002,5.4,0.6,0.6,5.4,0.6,0.5,5.4,1.4,0.7
041012050250003,1.2,0.6,0.6,1.2,0.6,0.5,1.2,1.4,0.7
041012050250004,3.6,0.6,0.6,3.3,0.6,0.5,3.6,1.4,0.7
041012050251001,1.3,0.6,0.6,1.3,0.6,0.5,2.4,1.4,0.7
041012050251006,0.5,0.6,0.6,0.4,0.6,0.5,0.4,1.4,0.7
041012050251008,0.0,0.6,0.6,0.0,0.6,0.5,1.2,1.4,0.7
041012050251009,0.4,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050251010,0.5,0.6,0.6,0.3,0.6,0.5,1.0,1.4,0.7
041012050252014,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252016,0.0,0.6,0.6,0.8,0.6,0.5,0.0,1.4,0.7
041012050252017,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252018,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252019,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
04101205025201C,0.4,0.6,0.6,0.4,0.6,0.5,1.3,1.4,0.7
041012050252020,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252022,0.0,0.6,0.6,0.0,0.6,0.5,5.0,1.4,0.7
041012050252024,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252027,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252029,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
04101205025202C,0.0,0.6,0.6,1.2,0.6,0.5,0.0,1.4,0.7
041012050252034,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252037,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252039,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
04101205025203C,1.0,0.6,0.6,1.0,0.6,0.5,3.8,1.4,0.7
041012050252040,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252041,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252043,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252046,0.0,0.6,0.6,0.3,0.6,0.5,0.9,1.4,0.7
041012050252047,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252051,,,,,,,,,
041012050252054,0.0,0.6,0.6,0.0,0.6,0.5,1.3,1.4,0.7
041012050252056,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252059,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252062,0.6,0.6,0.6,0.6,0.6,0.5,0.0,1.4,0.7
041012050252063,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252064,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252066,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252067,,,,,,,,,
041012050252078,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252080,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252082,0.5,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252084,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252085,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.4,0.7
041012050252086,0.7,0.6,0.6,0.7,0.6,0.5,0.9,1.4,0.7
041012050252087,0.2,0.6,0.6,0.2,0.6,0.5,0.7,1.4,0.7
041012070160001,0.8,0.8,0.6,0.8,0.8,0.5,0.6,0.6,0.7
041013200260001,1.8,1.0,0.6,1.8,1.0,0.5,1.8,1.4,0.7
041013200261002,1.3,1.0,0.6,1.3,1.0,0.5,2.3,1.4,0.7
041013200262003,,,,,,,,,
041013200262004,0.0,1.0,0.6,0.0,1.0,0.5,0.0,1.4,0.7
041013200262005,1.3,1.0,0.6,1.3,1.0,0.5,,,
041013210260001,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.0,0.7
041013210261001,0.4,0.2,0.6,0.4,0.2,0.5,0.0,0.0,0.7
041013210262002,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.0,0.7
041013220260001,3.1,0.6,0.6,3.1,0.6,0.5,3.1,1.3,0.7
041013220261001,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.3,0.7
041013220262001,0.0,0.6,0.6,0.0,0.6,0.5,0.0,1.3,0.7
041013230260001,0.7,0.1,0.6,0.7,0.1,0.5,0.7,0.3,0.7
041013230261002,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.3,0.7
041013230262003,,,,,,,,,
041013230262005,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.3,0.7
050160150041011,0.0,0.1,0.6,0.1,0.1,0.5,0.3,0.0,0.7
050160150041014,0.2,0.1,0.6,0.2,0.1,0.5,0.0,0.0,0.7
050160150041016,0.1,0.1,0.6,0.1,0.1,0.5,0.0,0.0,0.7
050160150041018,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042001,0.3,0.1,0.6,0.3,0.1,0.5,0.0,0.0,0.7
050160150042003,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042004,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042005,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042006,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042007,0.2,0.1,0.6,0.2,0.1,0.5,0.0,0.0,0.7
050160150042008,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042009,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042010,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042013,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042015,0.2,0.1,0.6,0.2,0.1,0.5,0.0,0.0,0.7
050160150042018,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042019,0.4,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042020,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160150042023,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160210041002,1.2,2.1,0.6,1.2,2.0,0.5,0.8,2.4,0.7
050160210041006,2.8,2.1,0.6,2.4,2.0,0.5,4.0,2.4,0.7
050160210041007,2.1,2.1,0.6,1.7,2.0,0.5,1.7,2.4,0.7
050160210042003,2.3,2.1,0.6,2.3,2.0,0.5,3.9,2.4,0.7
050160210042004,4.3,2.1,0.6,4.3,2.0,0.5,5.6,2.4,0.7
050160210042007,1.1,2.1,0.6,1.1,2.0,0.5,1.2,2.4,0.7
050160210042009,1.2,2.1,0.6,1.2,2.0,0.5,0.0,2.4,0.7
050160210042010,1.7,2.1,0.6,1.6,2.0,0.5,3.3,2.4,0.7
050160210042011,1.7,2.1,0.6,1.7,2.0,0.5,3.0,2.4,0.7
050160210042013,2.7,2.1,0.6,2.7,2.0,0.5,3.1,2.4,0.7
050160210042014,2.2,2.1,0.6,2.2,2.0,0.5,1.6,2.4,0.7
050160210042015,1.5,2.1,0.6,1.5,2.0,0.5,1.1,2.4,0.7
050160230021002,0.4,0.6,0.6,0.6,0.7,0.5,0.0,0.6,0.7
050160230022001,,,,,,,,,
050160230022004,0.6,0.6,0.6,0.5,0.7,0.5,,,
050160230022005,0.9,0.6,0.6,0.9,0.7,0.5,1.2,0.6,0.7
050160250021014,0.3,0.2,0.6,0.3,0.2,0.5,0.3,0.1,0.7
050160250021015,0.1,0.2,0.6,0.1,0.2,0.5,0.0,0.1,0.7
050160250022002,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.1,0.7
050160250022004,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.1,0.7
050160250022005,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.1,0.7
050160250022009,0.3,0.2,0.6,0.3,0.2,0.5,0.0,0.1,0.7
050160250022011,0.4,0.2,0.6,0.4,0.2,0.5,0.0,0.1,0.7
050160250022016,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.1,0.7
050160250022018,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.1,0.7
050160260021006,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160260022001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160260022003,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160270021005,0.0,0.0,0.6,0.0,0.0,0.5,0.7,0.3,0.7
050160270022002,,0.0,0.6,,0.0,0.5,,,
050160270022004,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.3,0.7
050160280021004,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160280022002,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160280022003,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.0,0.7
050160280022006,0.6,0.1,0.6,0.6,0.1,0.5,0.0,0.0,0.7
050160290022001,0.0,0.6,0.6,0.0,1.5,0.5,,2.5,0.7
050160290022002,0.7,0.6,0.6,1.8,1.5,0.5,2.5,2.5,0.7
050160300021001,0.0,0.3,0.6,0.0,0.3,0.5,0.0,0.0,0.7
050160300022002,0.7,0.3,0.6,0.7,0.3,0.5,0.0,0.0,0.7
050160300022003,0.4,0.3,0.6,0.4,0.3,0.5,0.0,0.0,0.7
050160310021001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160310022002,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160340041006,0.1,0.1,0.6,0.0,0.1,0.5,0.0,0.8,0.7
050160340041007,0.2,0.1,0.6,0.2,0.1,0.5,0.0,0.8,0.7
050160340042001,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.8,0.7
050160340042002,,,,,,,,,
050160340042003,0.3,0.1,0.6,0.2,0.1,0.5,4.4,0.8,0.7
050160340042004,,,,,,,,,
050160340042005,0.0,0.1,0.6,0.0,0.1,0.5,0.0,0.8,0.7
050160340042008,,,,,,,,,
050160350021001,0.3,0.2,0.6,0.3,0.2,0.5,0.0,0.0,0.7
050160350022001,0.0,0.2,0.6,0.0,0.2,0.5,0.0,0.0,0.7
050160350022002,,,,,,,,,
050160360021005,0.5,0.2,0.6,0.2,0.1,0.5,0.9,0.7,0.7
050160360022001,0.0,0.2,0.6,0.0,0.1,0.5,0.0,0.7,0.7
050160360022002,0.0,0.2,0.6,0.0,0.1,0.5,1.5,0.7,0.7
050160360022003,0.0,0.2,0.6,0.0,0.1,0.5,0.0,0.7,0.7
050160360022004,0.0,0.2,0.6,0.0,0.1,0.5,,,
050160370021001,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
050160370022003,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.7
