schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
040041000262010,K 1 2 3 4 5,38.3,656,"8,222",41.9,,19.1,20.5
040042000260003,9 10 11 12,29.7,529,"1,644",49.3,19.3,19.3,20.5
040042000261001,7 8,31.3,252,"1,644",51.2,,19.3,20.5
040042000262001,PK K 1 2 3 4,49.5,210,"1,644",51.9,,19.3,20.5
040042000262002,K 1 2 3 4,30.3,142,"1,644",42.3,,19.3,20.5
040042000262004,K 1 2 3 4,28.7,296,"1,644",36.8,,19.3,20.5
040042000262005,5 6,30.2,215,"1,644",48.8,,19.3,20.5
041011220220002,9 10 11 12,21.3,"2,171","6,860",46.7,20.1,20.1,20.5
041011220221005,7 8,22.2,"1,088","6,860",48.4,,20.1,20.5
041011220222005,1 2 3 4 5 6,28.0,354,"6,860",68.6,,20.1,20.5
041011220222006,1 2 3 4 5 6,28.5,295,"6,860",73.2,,20.1,20.5
041011220222007,1 2 3,20.7,334,"6,860",53.3,,20.1,20.5
041011220222008,1 2 3 4 5 6,31.1,357,"6,860",53.8,,20.1,20.5
041011220222010,1 2 3 4 5 6,12.8,360,"6,860",41.7,,20.1,20.5
041011220222011,1 2 3 4 5 6,21.8,431,"6,860",66.6,,20.1,20.5
041011220222013,4 5 6,23.9,461,"6,860",53.1,,20.1,20.5
041011220222014,1 2 3 4 5 6,19.4,403,"6,860",45.7,,20.1,20.5
041011220222015,PK K,22.1,606,"6,860",67.0,,20.1,20.5
041011310041002,6 7 8,12.4,636,"1,810",25.0,,,20.5
041011310042001,4 5,19.6,383,"1,810",29.8,,,20.5
041011310042002,PK K 1,15.1,403,"1,810",28.8,,,20.5
041011310042003,2 3,15.2,388,"1,810",26.3,,,20.5
041011330041001,5 6 7 8,10.1,375,748,19.7,,,20.5
041011330042001,PK K 1 2 3 4,12.3,373,748,17.4,,,20.5
041011340042001,K 1 2 3 4 5 6 7 8,4.1,121,121,30.6,,,20.5
041011400041001,6 7 8,12.8,545,"1,529",27.3,,,20.5
041011400042001,PK K 1 2,14.3,490,"1,529",30.0,,,20.5
041011400042002,3 4 5,13.6,494,"1,529",33.4,,,20.5
041012050250001,9 10 11 12,70.1,"2,053","28,650",79.3,19.9,18.3,20.5
041012050250002,9 10 11 12,62.9,"2,018","28,650",80.6,18.0,18.3,20.5
041012050250003,9 10 11 12,63.0,"1,805","28,650",75.2,18.1,18.3,20.5
041012050250004,9 10 11 12,68.4,"1,836","28,650",87.4,17.2,18.3,20.5
041012050251001,6 7 8,70.1,885,"28,650",89.3,,18.3,20.5
041012050251006,6 7 8,65.6,762,"28,650",73.8,,18.3,20.5
041012050251008,6 7 8,63.9,"1,005","28,650",84.9,,18.3,20.5
041012050251009,6 7 8,69.6,681,"28,650",91.5,,18.3,20.5
041012050251010,6 7 8,86.3,577,"28,650",97.9,,18.3,20.5
041012050252014,K 1 2 3 4 5 6 7 8,95.0,684,"28,650",94.4,,18.3,20.5
041012050252016,PK K 1 2 3 4 5,75.1,369,"28,650",98.1,,18.3,20.5
041012050252017,K 1 2 3 4 5,48.7,314,"28,650",86.3,,18.3,20.5
041012050252018,K 1 2 3 4 5,44.0,439,"28,650",59.7,,18.3,20.5
041012050252019,K 1 2 3 4 5,51.0,355,"28,650",72.4,,18.3,20.5
04101205025201C,K 1 2 3 4 5 6 7 8 9 10,85.1,315,"28,650",87.6,,18.3,20.5
041012050252020,3 4 5,29.4,194,"28,650",57.7,,18.3,20.5
041012050252022,K 1 2 3 4 5,68.2,415,"28,650",92.3,,18.3,20.5
041012050252024,K 1 2 3 4 5,93.6,451,"28,650",98.2,,18.3,20.5
041012050252027,K 1 2 3 4 5,53.6,455,"28,650",76.5,,18.3,20.5
041012050252029,K 1 2 3 4 5,60.1,333,"28,650",82.3,,18.3,20.5
04101205025202C,K 1 2 3 4 5 6 7 8,88.9,315,"28,650",81.6,,18.3,20.5
041012050252034,PK K 1 2 3 4 5,91.3,309,"28,650",99.4,,18.3,20.5
041012050252037,K 1 2 3 4 5,81.8,528,"28,650",95.3,,18.3,20.5
041012050252039,K 1 2 3 4 5,45.7,453,"28,650",72.0,,18.3,20.5
04101205025203C,K 1 2 3 4 5 6 7 8,89.4,501,"28,650",68.1,,18.3,20.5
041012050252040,K 1 2 3 4 5,80.5,267,"28,650",98.1,,18.3,20.5
041012050252041,K 1 2 3 4 5,86.1,402,"28,650",97.0,,18.3,20.5
041012050252043,K 1 2 3 4 5,74.4,387,"28,650",99.0,,18.3,20.5
041012050252046,3 4 5,66.5,340,"28,650",95.0,,18.3,20.5
041012050252047,K 1 2 3 4 5,76.0,459,"28,650",96.3,,18.3,20.5
041012050252051,PK K 1 2,73.4,579,"28,650",95.0,,18.3,20.5
041012050252054,PK K 1 2 3 4 5,58.1,731,"28,650",82.5,,18.3,20.5
041012050252056,K 1 2 3 4 5,61.7,399,"28,650",71.9,,18.3,20.5
041012050252059,K 1 2 3 4 5,51.5,274,"28,650",75.2,,18.3,20.5
041012050252062,K 1 2 3 4 5,73.4,455,"28,650",94.5,,18.3,20.5
041012050252063,K 1 2 3 4 5,53.3,302,"28,650",92.1,,18.3,20.5
041012050252064,PK K 1 2 3 4 5,68.5,359,"28,650",92.2,,18.3,20.5
041012050252066,K 1 2 3 4 5,65.7,353,"28,650",89.0,,18.3,20.5
041012050252067,PK K 1 2,32.9,304,"28,650",58.9,,18.3,20.5
041012050252078,1 2 3 4 5,31.9,514,"28,650",30.9,,18.3,20.5
041012050252080,K 1 2 3 4 5,92.2,309,"28,650",98.7,,18.3,20.5
041012050252082,PK K 1 2 3 4 5,75.7,428,"28,650",84.6,,18.3,20.5
041012050252084,K 1 2 3 4 5,90.6,404,"28,650",99.5,,18.3,20.5
041012050252085,PK K 1 2 3,59.8,503,"28,650",68.6,,18.3,20.5
041012050252086,6 7 8,72.5,"1,012","28,650",92.1,,18.3,20.5
041012050252087,4 5 6 7 8,33.0,373,"28,650",32.4,,18.3,20.5
041012070160001,9 10 11 12,13.0,"2,115","2,115",23.1,22.6,22.6,20.5
041013200260001,9 10 11 12,33.4,290,"1,048",63.8,19.3,19.3,20.5
041013200261002,7 8,41.7,151,"1,048",70.2,,19.3,20.5
041013200262003,PK K 1,37.4,230,"1,048",61.3,,19.3,20.5
041013200262004,2 3 4,39.7,214,"1,048",79.0,,19.3,20.5
041013200262005,5 6,41.1,163,"1,048",66.9,,19.3,20.5
041013210260001,9 10 11 12,4.7,276,886,21.7,21.0,21.0,20.5
041013210261001,5 6 7 8,10.4,269,886,26.0,,21.0,20.5
041013210262002,K 1 2 3 4,10.0,341,886,14.1,,21.0,20.5
041013220260001,9 10 11 12,3.5,200,601,29.0,19.9,19.9,20.5
041013220261001,7 8,6.4,94,601,26.6,,19.9,20.5
041013220262001,PK K 1 2 3 4 5 6,7.8,307,601,34.5,,19.9,20.5
041013230260001,9 10 11 12,13.6,478,"1,446",26.6,21.1,21.1,20.5
041013230261002,6 7 8,15.9,340,"1,446",32.9,,21.1,20.5
041013230262003,PK K 1 2,15.2,328,"1,446",35.1,,21.1,20.5
041013230262005,3 4 5,12.0,300,"1,446",33.7,,21.1,20.5
050160150041011,7 8,44.5,780,"12,745",12.3,,,20.5
050160150041014,7 8,54.6,538,"12,745",45.9,,,20.5
