schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathsch,nttkmathdist,nttkmathstate,tkreadsch,tkmathsch,tkreaddist,tkmathdist,tkreadstate,tkmathstate
211000020262005,6.1,4.0,4.4,5.7,4.2,4.4,93.9,94.3,96.0,95.8,95.6,95.6
211000020262007,2.8,4.0,4.4,3.5,4.2,4.4,97.2,96.5,96.0,95.8,95.6,95.6
211000020262010,3.1,4.0,4.4,3.1,4.2,4.4,96.9,96.9,96.0,95.8,95.6,95.6
211000030260001,0.0,0.4,4.4,0.0,0.4,4.4,100.0,100.0,99.6,99.6,95.6,95.6
211000030262001,0.5,0.4,4.4,0.5,0.4,4.4,99.5,99.5,99.6,99.6,95.6,95.6
211000040260001,5.0,2.4,4.4,3.6,2.2,4.4,95.0,96.4,97.6,97.8,95.6,95.6
211000040261001,2.0,2.4,4.4,2.2,2.2,4.4,98.0,97.8,97.6,97.8,95.6,95.6
211000040262008,,,,,,,,,97.6,97.8,95.6,95.6
211000040262010,2.0,2.4,4.4,2.0,2.2,4.4,98.0,98.0,97.6,97.8,95.6,95.6
211000050260001,1.6,1.3,4.4,0.8,1.3,4.4,98.4,99.2,98.7,98.7,95.6,95.6
211000050261001,2.7,1.3,4.4,3.1,1.3,4.4,97.3,96.9,98.7,98.7,95.6,95.6
211000050262001,0.0,1.3,4.4,0.0,1.3,4.4,100.0,100.0,98.7,98.7,95.6,95.6
211000050262006,0.7,1.3,4.4,0.7,1.3,4.4,99.3,99.3,98.7,98.7,95.6,95.6
240320010260001,1.9,2.1,4.4,1.6,2.1,4.4,98.1,98.4,97.9,97.9,95.6,95.6
240320010261002,2.8,2.1,4.4,3.0,2.1,4.4,97.2,97.0,97.9,97.9,95.6,95.6
240320010262003,0.0,2.1,4.4,0.0,2.1,4.4,100.0,100.0,97.9,97.9,95.6,95.6
240320010262004,2.1,2.1,4.4,1.8,2.1,4.4,97.9,98.2,97.9,97.9,95.6,95.6
240320010262005,,,,,,,,,97.9,97.9,95.6,95.6
24032002C021002,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
24032002C022001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
24032024C042001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
240320540021006,1.0,0.8,4.4,1.3,0.9,4.4,99.0,98.7,99.2,99.1,95.6,95.6
240320540022004,0.5,0.8,4.4,0.5,0.9,4.4,99.5,99.5,99.2,99.1,95.6,95.6
24032060C042001,1.6,1.6,4.4,1.4,1.4,4.4,98.4,98.6,98.4,98.6,95.6,95.6
24032072C042001,2.2,2.2,4.4,2.2,2.2,4.4,97.8,97.8,97.8,97.8,95.6,95.6
240320730170001,2.4,2.4,4.4,0.0,0.0,4.4,97.6,100.0,97.6,100.0,95.6,95.6
240320740032001,3.0,3.0,4.4,3.0,3.0,4.4,97.0,97.0,97.0,97.0,95.6,95.6
240320750022001,2.7,2.7,4.4,2.7,2.7,4.4,97.3,97.3,97.3,97.3,95.6,95.6
240321010160001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
240321110160001,1.0,1.0,4.4,2.8,2.8,4.4,99.0,97.2,99.0,97.2,95.6,95.6
240322010041002,1.4,1.1,4.4,1.3,1.0,4.4,98.6,98.7,98.9,99.0,95.6,95.6
240322010042001,1.2,1.1,4.4,0.8,1.0,4.4,98.8,99.2,98.9,99.0,95.6,95.6
240322010042002,0.7,1.1,4.4,0.7,1.0,4.4,99.3,99.3,98.9,99.0,95.6,95.6
240322010042003,1.0,1.1,4.4,1.0,1.0,4.4,99.0,99.0,98.9,99.0,95.6,95.6
240322010042004,2.0,1.1,4.4,2.3,1.0,4.4,98.0,97.7,98.9,99.0,95.6,95.6
240322010042005,0.0,1.1,4.4,0.0,1.0,4.4,100.0,100.0,98.9,99.0,95.6,95.6
240322010042006,,,,,,,,,98.9,99.0,95.6,95.6
240470180160001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
240470660041001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
240470660042001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
240470880260001,3.5,2.2,4.4,4.1,2.5,4.4,96.5,95.9,97.8,97.5,95.6,95.6
240470880261001,1.5,2.2,4.4,1.7,2.5,4.4,98.5,98.3,97.8,97.5,95.6,95.6
240470880262002,,,,,,,,,97.8,97.5,95.6,95.6
240470880262003,2.7,2.2,4.4,2.7,2.5,4.4,97.3,97.3,97.8,97.5,95.6,95.6
240470880262004,2.1,2.2,4.4,2.3,2.5,4.4,97.9,97.7,97.8,97.5,95.6,95.6
240470900042001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
240471150260001,1.0,1.0,4.4,1.6,1.0,4.4,99.0,98.4,99.0,99.0,95.6,95.6
240471150261001,1.4,1.0,4.4,1.5,1.0,4.4,98.6,98.5,99.0,99.0,95.6,95.6
240471150262002,1.5,1.0,4.4,1.5,1.0,4.4,98.5,98.5,99.0,99.0,95.6,95.6
240471150262003,0.0,1.0,4.4,0.0,1.0,4.4,100.0,100.0,99.0,99.0,95.6,95.6
240471150262004,0.0,1.0,4.4,0.0,1.0,4.4,100.0,100.0,99.0,99.0,95.6,95.6
240471150262005,0.5,1.0,4.4,0.5,1.0,4.4,99.5,99.5,99.0,99.0,95.6,95.6
240471150262007,0.6,1.0,4.4,0.3,1.0,4.4,99.4,99.7,99.0,99.0,95.6,95.6
240471150262008,0.6,1.0,4.4,0.6,1.0,4.4,99.4,99.4,99.0,99.0,95.6,95.6
240471150262009,1.7,1.0,4.4,1.4,1.0,4.4,98.3,98.6,99.0,99.0,95.6,95.6
240473080260001,3.9,1.5,4.4,5.1,1.7,4.4,96.1,94.9,98.5,98.3,95.6,95.6
240473080260002,2.7,1.5,4.4,4.4,1.7,4.4,97.3,95.6,98.5,98.3,95.6,95.6
240473080261002,1.6,1.5,4.4,1.7,1.7,4.4,98.4,98.3,98.5,98.3,95.6,95.6
240473080261003,1.1,1.5,4.4,1.1,1.7,4.4,98.9,98.9,98.5,98.3,95.6,95.6
240473080261004,1.1,1.5,4.4,1.3,1.7,4.4,98.9,98.7,98.5,98.3,95.6,95.6
240473080261005,1.5,1.5,4.4,1.4,1.7,4.4,98.5,98.6,98.5,98.3,95.6,95.6
240473080261006,0.8,1.5,4.4,0.8,1.7,4.4,99.2,99.2,98.5,98.3,95.6,95.6
240473080262003,,,,,,,,,98.5,98.3,95.6,95.6
240473080262004,1.4,1.5,4.4,1.7,1.7,4.4,98.6,98.3,98.5,98.3,95.6,95.6
240473080262005,1.9,1.5,4.4,1.9,1.7,4.4,98.1,98.1,98.5,98.3,95.6,95.6
240473080262006,0.5,1.5,4.4,0.5,1.7,4.4,99.5,99.5,98.5,98.3,95.6,95.6
240473080262007,0.5,1.5,4.4,0.5,1.7,4.4,99.5,99.5,98.5,98.3,95.6,95.6
240473080262008,0.5,1.5,4.4,0.3,1.7,4.4,99.5,99.7,98.5,98.3,95.6,95.6
240473080262009,0.5,1.5,4.4,1.1,1.7,4.4,99.5,98.9,98.5,98.3,95.6,95.6
240473080262010,4.6,1.5,4.4,5.2,1.7,4.4,95.4,94.8,98.5,98.3,95.6,95.6
240473080262011,0.6,1.5,4.4,0.3,1.7,4.4,99.4,99.7,98.5,98.3,95.6,95.6
240473080262012,1.3,1.5,4.4,0.8,1.7,4.4,98.7,99.2,98.5,98.3,95.6,95.6
240473080262013,0.6,1.5,4.4,0.6,1.7,4.4,99.4,99.4,98.5,98.3,95.6,95.6
240473080262014,0.5,1.5,4.4,0.5,1.7,4.4,99.5,99.5,98.5,98.3,95.6,95.6
