schid,demschoolwhite,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state,percmin2015
010690110262003,93.3,119,244,72.3,,18.4,20.5,6.700000000000003
010690270260001,95.3,170,390,31.2,20.0,20.0,20.5,4.700000000000003
010690270262002,96.4,220,390,41.4,,20.0,20.5,3.5999999999999943
010691170220014,81.5,"1,008","3,541",50.5,18.9,18.9,20.5,18.5
010691170221013,79.3,503,"3,541",56.9,,18.9,20.5,20.700000000000003
01069117022102C,70.8,106,"3,541",99.1,,18.9,20.5,29.200000000000003
010691170222001,83.5,334,"3,541",45.8,,18.9,20.5,16.5
010691170222005,66.4,318,"3,541",99.1,,18.9,20.5,33.599999999999994
010691170222006,53.8,316,"3,541",99.4,,18.9,20.5,46.2
010691170222007,81.8,373,"3,541",50.4,,18.9,20.5,18.200000000000003
010691170222008,81.6,250,"3,541",98.8,,18.9,20.5,18.400000000000006
010691170222009,96.2,156,"3,541",46.8,,18.9,20.5,3.799999999999997
010750030260002,98.0,100,318,47.0,18.4,18.4,20.5,2.0
010750030262001,98.6,218,318,54.1,,18.4,20.5,1.4000000000000057
010750040260002,98.2,113,399,46.0,19.2,19.2,20.5,1.7999999999999972
010750040261002,92.2,102,399,59.8,,19.2,20.5,7.799999999999997
010750040262001,95.7,184,399,63.0,,19.2,20.5,4.299999999999997
010750100260009,97.8,357,"1,318",52.7,19.8,19.8,20.5,2.200000000000003
010750100262007,98.4,384,"1,318",54.9,,19.8,20.5,1.5999999999999943
010750100262010,98.1,577,"1,318",57.7,,19.8,20.5,1.9000000000000057
010750120260001,96.0,149,612,51.7,18.5,18.5,20.5,4.0
010750120261001,97.2,213,612,62.9,,18.5,20.5,2.799999999999997
010750120262001,95.6,250,612,64.4,,18.5,20.5,4.400000000000006
010860010260001,98.0,198,668,41.4,20.0,20.0,20.5,2.0
010860010262002,98.5,470,668,52.8,,20.0,20.5,1.5
010860020260001,97.2,71,221,49.3,16.7,16.7,20.5,2.799999999999997
010860020261001,96.9,32,221,56.3,,16.7,20.5,3.0999999999999943
010860020262001,97.5,118,221,55.9,,16.7,20.5,2.5
030030010260001,93.1,116,431,46.6,18.4,18.4,20.5,6.900000000000006
030030010261001,92.0,88,431,48.9,,18.4,20.5,8.0
030030010262001,88.5,227,431,59.0,,18.4,20.5,11.5
030030020260001,92.1,545,"1,921",39.8,20.7,20.7,20.5,7.900000000000006
030030020261002,87.6,307,"1,921",44.0,,20.7,20.5,12.400000000000006
030030020262003,86.5,669,"1,921",56.2,,20.7,20.5,13.5
030030020262004,97.8,228,"1,921",57.0,,20.7,20.5,2.200000000000003
